percentile,profession,publicprivate,income
16,Högskoleingenjör,public,29400
17,Högskoleingenjör,public,29500
18,Högskoleingenjör,public,29800
19,Högskoleingenjör,public,30000
20,Högskoleingenjör,public,30009
21,Högskoleingenjör,public,30200
22,Högskoleingenjör,public,30350
23,Högskoleingenjör,public,30500
24,Högskoleingenjör,public,30600
25,Högskoleingenjör,public,30750
26,Högskoleingenjör,public,30900
27,Högskoleingenjör,public,31000
28,Högskoleingenjör,public,31100
29,Högskoleingenjör,public,31350
30,Högskoleingenjör,public,31500
31,Högskoleingenjör,public,31600
32,Högskoleingenjör,public,31725
33,Högskoleingenjör,public,31900
34,Högskoleingenjör,public,32000
35,Högskoleingenjör,public,32100
36,Högskoleingenjör,public,32350
37,Högskoleingenjör,public,32550
38,Högskoleingenjör,public,32700
39,Högskoleingenjör,public,32900
40,Högskoleingenjör,public,33000
41,Högskoleingenjör,public,33100
42,Högskoleingenjör,public,33205
43,Högskoleingenjör,public,33350
44,Högskoleingenjör,public,33500
45,Högskoleingenjör,public,33700
46,Högskoleingenjör,public,33900
47,Högskoleingenjör,public,34000
48,Högskoleingenjör,public,34200
49,Högskoleingenjör,public,34500
50,Högskoleingenjör,public,34650
51,Högskoleingenjör,public,34800
52,Högskoleingenjör,public,35000
53,Högskoleingenjör,public,35100
54,Högskoleingenjör,public,35400
55,Högskoleingenjör,public,35600
56,Högskoleingenjör,public,35800
57,Högskoleingenjör,public,36000
58,Högskoleingenjör,public,36000
59,Högskoleingenjör,public,36200
60,Högskoleingenjör,public,36500
61,Högskoleingenjör,public,36700
62,Högskoleingenjör,public,36900
63,Högskoleingenjör,public,37000
64,Högskoleingenjör,public,37300
65,Högskoleingenjör,public,37500
66,Högskoleingenjör,public,37700
67,Högskoleingenjör,public,38000
68,Högskoleingenjör,public,38100
69,Högskoleingenjör,public,38400
70,Högskoleingenjör,public,38500
71,Högskoleingenjör,public,38700
72,Högskoleingenjör,public,38800
73,Högskoleingenjör,public,39000
74,Högskoleingenjör,public,39200
75,Högskoleingenjör,public,39480
76,Högskoleingenjör,public,39700
77,Högskoleingenjör,public,40000
78,Högskoleingenjör,public,40042
79,Högskoleingenjör,public,40300
80,Högskoleingenjör,public,40700
81,Högskoleingenjör,public,41000
82,Högskoleingenjör,public,41400
83,Högskoleingenjör,public,41800
84,Högskoleingenjör,public,42000
85,Högskoleingenjör,public,42643
86,Högskoleingenjör,public,43150
87,Högskoleingenjör,public,43700
88,Högskoleingenjör,public,44000
89,Högskoleingenjör,public,44500
90,Högskoleingenjör,public,44950
91,Högskoleingenjör,public,45600
92,Högskoleingenjör,public,46000
93,Högskoleingenjör,public,47000
94,Högskoleingenjör,public,47800
95,Högskoleingenjör,public,48850
